person_id,origin_id,destination_id
P0001,F049,LAND
P0002,LAND,F022
P0003,F052,LAND
P0004,LAND,F012
P0005,F022,F033
P0006,F018,LAND
P0007,LAND,F034
P0008,A02,F021
P0009,F004,LAND
P0010,F038,LAND
P0011,F031,LAND
P0012,F040,LAND
P0013,F032,LAND
P0014,F030,F026
P0015,A01,F003
P0016,LAND,F021
P0017,F021,LAND
P0018,F005,LAND
P0019,F030,F026
P0020,LAND,F002
P0021,F005,F017
P0022,F052,LAND
P0023,F051,LAND
P0024,F031,LAND
P0025,F019,LAND
P0026,F042,LAND
P0027,LAND,F002
P0028,LAND,F010
P0029,LAND,F026
P0030,LAND,F003
P0031,F007,F002
P0032,F001,LAND
P0033,LAND,F003
P0034,F048,LAND
P0035,LAND,F003
P0036,A01,F001
P0037,LAND,F021
P0038,F036,F046
P0039,F044,LAND
P0040,A03,F047
P0041,F019,LAND
P0042,LAND,F006
P0043,F051,LAND
P0044,LAND,F006
P0045,LAND,F019
P0046,F002,A01
P0047,F048,LAND
P0048,F039,F048
P0049,A01,F012
P0050,F020,LAND
P0051,F002,LAND
P0052,F030,F026
P0053,F026,F033
P0054,F018,A02
P0055,LAND,F022
P0056,LAND,F021
P0057,A01,F007
P0058,LAND,F022
P0059,A02,F019
P0060,F051,LAND
P0061,A01,F014
P0062,F002,LAND
P0063,F019,LAND
P0064,F043,F051
P0065,LAND,F034
P0066,LAND,F034
P0067,F019,F033
P0068,LAND,F023
P0069,F042,LAND
P0070,LAND,F033
P0071,F030,F026
P0072,LAND,F052
P0073,F023,A02
P0074,LAND,F044
P0075,F030,LAND
P0076,F024,LAND
P0077,LAND,F010
P0078,F009,LAND
P0079,F002,F004
P0080,F038,F039
P0081,LAND,F001
P0082,F031,F021
P0083,LAND,F034
P0084,F039,LAND
P0085,F035,LAND
P0086,LAND,F009
P0087,F039,F048
P0088,F034,LAND
P0089,LAND,F006
P0090,F021,LAND
P0091,LAND,F033
P0092,F042,F040
P0093,LAND,F012
P0094,LAND,F026
P0095,LAND,F043
P0096,F007,LAND
P0097,LAND,F039
P0098,F038,LAND
P0099,LAND,F032
P0100,F002,LAND
P0101,F012,A01
P0102,LAND,F051
P0103,F045,A03
P0104,F022,A02
P0105,F018,LAND
P0106,F016,LAND
P0107,F004,LAND
P0108,F030,LAND
P0109,F020,A02
P0110,F033,LAND
P0111,LAND,F023
P0112,F013,LAND
P0113,LAND,F006
P0114,F023,LAND
P0115,A02,F035
P0116,LAND,F034
P0117,F015,F009
P0118,F008,F003
P0119,F044,LAND
P0120,F027,LAND
P0121,F010,LAND
P0122,F025,F027
P0123,F040,A03
P0124,A02,F021
P0125,F045,LAND
P0126,LAND,F022
P0127,F001,LAND
P0128,F017,A01
P0129,F046,A03
P0130,F017,LAND
P0131,F023,LAND
P0132,LAND,F043
P0133,F002,F003
P0134,LAND,F019
P0135,F044,LAND
P0136,F003,LAND
P0137,A01,F017
P0138,LAND,F018
P0139,F032,LAND
P0140,A03,F040
P0141,F023,LAND
P0142,F034,LAND
P0143,F002,F003
P0144,F006,LAND
P0145,F024,F027
P0146,LAND,F004
P0147,LAND,F018
