person_id,origin_id,destination_id
P0002,LAND,F022
P0004,LAND,F012
P0007,LAND,F034
P0008,A02,F021
P0015,A01,F003
P0016,LAND,F021
P0020,LAND,F002
P0027,LAND,F002
P0028,LAND,F010
P0029,LAND,F026
P0030,LAND,F003
P0033,LAND,F003
P0035,LAND,F003
P0036,A01,F001
P0037,LAND,F021
P0040,A03,F047
P0042,LAND,F006
P0044,LAND,F006
P0045,LAND,F019
P0049,A01,F012
P0055,LAND,F022
P0056,LAND,F021
P0057,A01,F007
P0058,LAND,F022
P0059,A02,F019
P0061,A01,F014
P0065,LAND,F034
P0066,LAND,F034
P0068,LAND,F023
P0070,LAND,F033
P0072,LAND,F052
P0074,LAND,F044
P0077,LAND,F010
P0081,LAND,F001
P0083,LAND,F034
P0086,LAND,F009
P0089,LAND,F006
P0091,LAND,F033
P0093,LAND,F012
P0094,LAND,F026
P0095,LAND,F043
P0097,LAND,F039
P0099,LAND,F032
P0102,LAND,F051
P0111,LAND,F023
P0113,LAND,F006
P0115,A02,F035
P0116,LAND,F034
P0124,A02,F021
P0126,LAND,F022
P0132,LAND,F043
P0134,LAND,F019
P0137,A01,F017
P0138,LAND,F018
P0140,A03,F040
P0146,LAND,F004
P0147,LAND,F018
P0148,LAND,F021
P0151,LAND,F006
P0158,LAND,F006
P0159,LAND,F029
P0166,LAND,F050
P0169,LAND,F030
P0172,LAND,F047
P0174,A01,F011
P0177,LAND,F005
P0184,LAND,F051
P0186,LAND,F006
P0188,LAND,F031
P0191,LAND,F046
P0192,LAND,F027
P0193,LAND,F026
P0199,LAND,F037
P0203,LAND,F021
P0206,LAND,F052
P0209,LAND,F021
P0213,A02,F024
P0214,LAND,F022
P0215,LAND,F036
P0216,LAND,F033
P0221,A02,F031
P0222,LAND,F027
P0226,A02,F029
P0227,LAND,F041
P0228,LAND,F012
P0229,LAND,F013
P0230,A02,F026
P0238,LAND,F038
P0239,A01,F012
P0240,A01,F006
P0241,LAND,F028
P0244,LAND,F006
P0245,LAND,F046
P0247,A01,F012
P0249,LAND,F020
P0252,A01,F009
P0253,LAND,F018
P0254,LAND,F021
P0255,LAND,F048
P0257,LAND,F003
P0259,LAND,F044
P0260,A03,F037
P0266,LAND,F012
P0267,A01,F006
P0268,LAND,F022
P0269,LAND,F015
P0272,LAND,F028
P0275,LAND,F016
P0284,LAND,F011
P0288,LAND,F027
P0289,LAND,F028
P0293,A01,F011
P0294,A03,F042
P0298,LAND,F023
P0299,LAND,F029
P0300,LAND,F021
P0303,LAND,F014
P0304,LAND,F026
P0305,LAND,F034
P0306,LAND,F029
P0307,A02,F024
P0311,LAND,F021
P0320,LAND,F028
P0323,LAND,F049
P0326,LAND,F041
P0330,LAND,F037
P0332,LAND,F030
P0338,LAND,F038
P0344,LAND,F019
P0347,LAND,F030
P0349,LAND,F051
P0350,LAND,F020
P0357,LAND,F030
P0365,LAND,F045
P0367,LAND,F040
P0368,A03,F041
P0369,LAND,F036
P0371,LAND,F018
P0375,LAND,F010
P0376,LAND,F021
P0377,LAND,F041
P0379,A02,F032
P0382,LAND,F018
P0385,LAND,F038
P0386,A03,F044
P0387,LAND,F033
P0388,LAND,F036
P0390,LAND,F032
P0393,LAND,F006
P0394,LAND,F021
P0395,LAND,F010
P0396,LAND,F044
P0399,LAND,F038
P0401,A03,F036
P0402,LAND,F001
P0404,LAND,F034
P0409,LAND,F015
P0410,LAND,F024
P0414,LAND,F026
P0415,LAND,F021
P0417,LAND,F013
P0418,LAND,F017
P0419,A01,F013
P0421,LAND,F020
P0422,LAND,F032
P0423,LAND,F016
P0428,LAND,F035
P0430,LAND,F045
P0433,A02,F024
P0435,LAND,F036
P0436,LAND,F020
P0438,LAND,F021
P0440,LAND,F020
P0442,A03,F044
P0445,LAND,F018
P0446,LAND,F051
P0448,A02,F030
P0449,LAND,F029
P0450,LAND,F027
P0451,LAND,F034
P0453,LAND,F013
P0454,LAND,F008
P0455,LAND,F042
P0456,LAND,F021
P0458,LAND,F020
P0459,LAND,F025
P0460,LAND,F022
P0462,LAND,F051
P0465,A03,F052
P0467,LAND,F050
P0470,LAND,F031
P0472,LAND,F018
P0475,LAND,F024
P0476,A01,F015
P0479,LAND,F030
P0480,LAND,F007
P0482,LAND,F016
P0484,A01,F015
P0490,LAND,F028
P0492,LAND,F020
P0493,LAND,F019
P0496,LAND,F036
P0499,A02,F024
P0501,LAND,F021
P0502,LAND,F051
P0505,LAND,F026
P0510,LAND,F012
P0511,LAND,F026
P0512,LAND,F001
P0513,LAND,F015
P0519,LAND,F041
P0520,LAND,F043
P0521,LAND,F026
P0522,LAND,F026
P0525,LAND,F012
P0528,A01,F003
P0530,LAND,F051
P0535,LAND,F011
P0537,LAND,F025
P0540,A03,F050
P0541,LAND,F051
P0542,A02,F019
P0546,A02,F032
P0547,LAND,F047
P0550,LAND,F021
P0552,LAND,F036
P0558,LAND,F044
