日期,机场,飞机编号,架次,机型,停靠设施,承运人数,飞机使用时间(分钟),航程(km),燃油(kg),人员在途时间(分钟),座位利用率,空座公里
2026-08-03,A01,A01-T2-H01,1,T2,F001—F011—F003—F002,26,227,639.0,1597.5,2002,0.620696,3878.0
2026-08-03,A01,A01-T2-H02,1,T2,F006—F007,32,163,482.0,1205.0,2552,0.992739,56.0
2026-08-03,A01,A01-T3-H01,1,T3,F002—F007—F006,36,199,496.0,1438.4,3257,0.918081,772.0
2026-08-03,A01,A01-T2-H03,1,T2,F005,28,114,380.0,950.0,1596,0.875,760.0
2026-08-03,A01,A01-T3-H02,1,T3,F004—F003—F011—F001—F016,34,249,590.0,1711.0,1582,0.347012,7320.0
2026-08-04,A01,A01-T2-H01,2,T2,F001—F011,11,173,521.0,1302.5,1148,0.400672,4996.0
2026-08-04,A01,A01-T3-H01,2,T3,F004—F007—F006,24,185,482.0,1397.8,1057,0.272112,6666.0
2026-08-04,A01,A01-T2-H02,2,T2,F003—F008—F011,7,168,464.0,1160.0,525,0.201509,5928.0
2026-08-04,A01,A01-T2-H03,2,T2,F010—F008—F011,32,169,469.0,1172.5,2608,0.984808,114.0
2026-08-04,A01,A01-T3-H02,2,T3,F004,15,136,394.0,1142.6,945,0.394737,4531.0
2026-08-04,A01,A01-T1-H01,2,T1,F009—F011,11,128,402.0,1366.8,858,0.538143,2228.0
2026-08-04,A01,A01-T3-H02,3,T3,F003—F008—F011,39,178,464.0,1345.6,2015,0.629764,3264.0
2026-08-04,A01,A01-T2-H01,3,T2,F011—F012,32,159,468.0,1170.0,2544,1.0,0.0
2026-08-04,A01,A01-T1-H02,1,T1,F004—F007—F006,8,158,482.0,1638.8,562,0.232192,4441.0
2026-08-04,A01,A01-T1-H03,1,T1,F006—F010,12,146,478.0,1625.2,792,0.483961,2960.0
2026-08-05,A01,A01-T2-H01,4,T2,F002—F006—F004,6,177,497.0,1242.5,372,0.087399,7257.0
2026-08-05,A01,A01-T2-H02,3,T2,F003—F011—F009,14,163,442.0,1105.0,1598,0.536482,3278.0
2026-08-05,A01,A01-T3-H01,3,T3,F011—F005—F017,25,174,449.0,1302.1,1440,0.429375,4868.0
2026-08-05,A01,A01-T2-H03,3,T2,F006—F013,21,185,560.0,1400.0,1989,0.656585,3077.0
2026-08-05,A01,A01-T3-H02,4,T3,F014,35,114,328.0,951.2,1990,0.921053,492.0
2026-08-05,A01,A01-T1-H01,3,T1,F010—F006—F007,12,159,490.0,1666.0,492,0.083673,5388.0
2026-08-05,A01,A01-T1-H02,2,T1,F006—F007,13,147,482.0,1638.8,301,0.109959,5148.0
2026-08-05,A01,A01-T2-H02,4,T2,F003—F006—F007—F002—F004,22,202,511.0,1277.5,418,0.082926,7498.0
2026-08-05,A01,A01-T3-H02,5,T3,F009—F011—F003,15,172,442.0,1281.8,735,0.1598,7056.0
2026-08-05,A01,A01-T1-H03,2,T1,F010—F006—F007,4,159,490.0,1666.0,164,0.027891,5716.0
2026-08-05,A01,A01-T2-H01,5,T2,F011—F008—F003,13,168,464.0,1160.0,273,0.066541,6930.0
2026-08-05,A01,A01-T1-H01,4,T1,F011—F014,1,130,409.0,1390.6,90,0.049919,4663.0
2026-08-06,A01,A01-T1-H01,5,T1,F011—F015,23,133,423.0,1438.2,1550,0.962372,191.0
2026-08-06,A01,A01-T3-H01,4,T3,F002—F006,32,188,495.0,1435.5,3008,0.842105,1485.0
2026-08-06,A01,A01-T2-H01,6,T2,F011—F015—F012—F001—F016,32,207,529.0,1322.5,1926,0.617084,3241.0
2026-08-06,A01,A01-T2-H02,5,T2,F017,28,94,306.0,765.0,1306,0.875,612.0
2026-08-06,A01,A01-T2-H01,7,T2,F016,18,110,362.0,905.0,1020,0.5625,2534.0
2026-08-06,A01,A01-T2-H03,4,T2,F001—F012—F015—F011,26,195,526.0,1315.0,1336,0.422172,4863.0
2026-08-06,A01,A01-T3-H02,6,T3,F002—F006,2,188,495.0,1435.5,188,0.052632,8910.0
2026-08-07,A01,A01-T2-H01,8,T2,F006—F013—F002,7,197,565.0,1412.5,203,0.051881,8571.0
2026-08-07,A01,A01-T2-H02,6,T2,F003—F006—F013—F002—F004,41,221,580.0,1450.0,3092,0.913685,801.0
2026-08-07,A01,A01-T2-H03,5,T2,F004—F006,32,160,472.0,1180.0,2281,0.952331,360.0
2026-08-07,A01,A01-T3-H01,5,T3,F017—F014—F011,20,169,436.0,1264.4,834,0.252052,6196.0
2026-08-07,A01,A01-T1-H01,6,T1,F011—F014—F017,9,147,436.0,1482.4,180,0.065367,4890.0
2026-08-07,A01,A01-T3-H02,7,T3,F015—F009,7,146,395.0,1145.5,416,0.132179,6513.0
2026-08-07,A01,A01-T2-H01,9,T2,F005,28,114,380.0,950.0,1586,0.875,760.0
2026-08-07,A01,A01-T3-H01,6,T3,F016—F005,14,146,396.0,1148.4,252,0.046518,7174.0
2026-08-07,A01,A01-T1-H02,3,T1,F011—F002—F013—F006,6,219,648.0,2203.2,972,0.318673,5298.0
2026-08-07,A01,A01-T1-H03,3,T1,F011—F002—F006—F003,4,202,580.0,1972.0,188,0.110345,6192.0
2026-08-07,A01,A01-T1-H03,4,T1,F005—F015—F011—F009—F014,10,175,469.0,1594.6,470,0.117271,4968.0
2026-08-07,A01,A01-T1-H01,7,T1,F017—F014—F011,6,147,436.0,1482.4,120,0.043578,5004.0
2026-08-08,A01,A01-T3-H01,7,T3,F011—F012,35,169,468.0,1357.2,2670,0.859199,1252.0
2026-08-08,A01,A01-T3-H02,8,T3,F006—F007,3,174,482.0,1397.8,222,0.076327,8459.0
2026-08-08,A01,A01-T2-H01,10,T2,F007—F006—F010,29,175,490.0,1225.0,2539,0.906888,730.0
2026-08-08,A01,A01-T2-H02,7,T2,F006—F013,32,185,560.0,1400.0,2960,1.0,0.0
2026-08-08,A01,A01-T2-H03,6,T2,F008—F011,16,155,455.0,1137.5,1056,0.471978,3844.0
2026-08-08,A01,A01-T3-H01,8,T3,F009,26,116,332.0,962.8,1488,0.684211,1992.0
2026-08-08,A01,A01-T3-H02,9,T3,F001—F012—F005—F011—F010,25,252,597.0,1731.3,2804,0.581592,4746.0
2026-08-08,A01,A01-T2-H03,7,T2,F001—F012—F005—F011,18,197,535.0,1337.5,1242,0.364019,5444.0
2026-08-08,A01,A01-T1-H01,8,T1,F006—F013—F011,3,196,597.0,2029.8,297,0.117672,6321.0
2026-08-09,A01,A01-T2-H01,11,T2,F003—F007—F006—F008,12,194,516.0,1290.0,621,0.258358,6123.0
2026-08-09,A01,A01-T2-H02,8,T2,F001—F011,30,173,521.0,1302.5,2562,0.927543,604.0
2026-08-09,A01,A01-T3-H01,9,T3,F002—F006,32,188,495.0,1435.5,3008,0.842105,1485.0
2026-08-09,A01,A01-T1-H01,9,T1,F011—F002—F006—F003,12,202,580.0,1972.0,773,0.24023,5288.0
2026-08-09,A01,A01-T3-H02,10,T3,F003—F006—F007,16,195,484.0,1403.6,800,0.102653,8252.0
2026-08-09,A01,A01-T2-H03,9,T2,F014—F015,32,126,382.0,955.0,1944,0.98233,108.0
2026-08-09,A01,A01-T2-H01,12,T2,F016—F017,32,120,363.0,907.5,1794,0.965048,203.0
2026-08-09,A01,A01-T1-H02,5,T1,F014—F015—F011,10,144,423.0,1438.2,859,0.470055,2690.0
2026-08-09,A01,A01-T2-H02,9,T2,F016—F017,18,120,363.0,907.5,1188,0.592631,2366.0
2026-08-09,A01,A01-T2-H03,8,T2,F016—F017,2,120,363.0,907.5,138,0.067493,5416.0
2026-08-03,A02,A02-T3-H01,1,T3,F021—F024—F027,16,181,470.0,1363.0,734,0.137738,7700.0
2026-08-03,A02,A02-T3-H02,1,T3,F020,32,128,370.0,1073.0,2048,0.842105,1110.0
2026-08-03,A02,A02-T2-H01,1,T2,F018—F026—F033—F019—F020,43,201,508.0,1270.0,2749,0.906865,757.0
2026-08-03,A02,A02-T2-H02,1,T2,F021—F024,32,159,471.0,1177.5,2544,1.0,0.0
2026-08-03,A02,A02-T2-H03,1,T2,F020—F019—F033—F024,30,189,504.0,1260.0,928,0.25248,6028.0
2026-08-03,A02,A02-T2-H04,1,T2,F018,11,138,428.0,1070.0,649,0.34375,4494.0
2026-08-03,A02,A02-T3-H02,2,T3,F020—F019—F024,13,181,470.0,1363.0,789,0.200784,7137.0
2026-08-04,A02,A02-T2-H01,2,T2,F023—F031,30,176,534.0,1335.0,2650,0.9375,534.0
2026-08-04,A02,A02-T2-H02,2,T2,F018—F026,32,154,449.0,1122.5,2464,1.0,0.0
2026-08-04,A02,A02-T3-H01,2,T3,F027,32,136,396.0,1148.4,2176,0.842105,1188.0
2026-08-04,A02,A02-T2-H03,2,T2,F022—F033—F024,41,177,500.0,1250.0,2553,0.955,360.0
2026-08-04,A02,A02-T3-H02,3,T3,F025—F031—F023—F032—F027,25,249,591.0,1713.9,1506,0.294683,7920.0
2026-08-04,A02,A02-T2-H01,3,T2,F024—F025,29,157,461.0,1152.5,2197,0.880423,882.0
2026-08-04,A02,A02-T2-H04,2,T2,F018—F026—F022,11,167,459.0,1147.5,716,0.320125,4993.0
2026-08-04,A02,A02-T1-H01,1,T1,F024—F025,1,142,461.0,1567.4,93,0.046638,5274.0
2026-08-05,A02,A02-T2-H01,4,T2,F018—F028,24,174,522.0,1305.0,2088,0.75,2088.0
2026-08-05,A02,A02-T2-H02,3,T2,F031—F032,29,184,559.0,1397.5,2704,0.910555,800.0
2026-08-05,A02,A02-T2-H03,3,T2,F024—F033,32,167,498.0,1245.0,2672,1.0,0.0
2026-08-05,A02,A02-T3-H01,3,T3,F024—F034,34,193,512.0,1484.8,3312,0.894942,1022.0
2026-08-05,A02,A02-T2-H04,3,T2,F024—F029,26,154,451.0,1127.5,2002,0.8125,1353.0
2026-08-05,A02,A02-T2-H01,5,T2,F030,27,110,360.0,900.0,1480,0.84375,900.0
2026-08-05,A02,A02-T2-H01,6,T2,F024—F027,12,150,437.0,1092.5,192,0.034325,6752.0
2026-08-05,A02,A02-T3-H02,4,T3,F024—F034—F033,4,208,527.0,1528.3,380,0.103465,8977.0
2026-08-06,A02,A02-T3-H01,4,T3,F018—F026—F033—F019,21,212,503.0,1458.7,1006,0.219002,7464.0
2026-08-06,A02,A02-T2-H01,7,T2,F020,29,112,370.0,925.0,1619,0.90625,555.0
2026-08-06,A02,A02-T2-H02,4,T2,F025—F021—F035—F024—F027,17,209,536.0,1340.0,1644,0.43715,4827.0
2026-08-06,A02,A02-T3-H02,5,T3,F021—F024,32,171,471.0,1365.9,2736,0.842105,1413.0
2026-08-06,A02,A02-T2-H03,4,T2,F018—F022,32,155,453.0,1132.5,2309,0.961507,279.0
2026-08-06,A02,A02-T2-H04,4,T2,F031,29,152,484.0,1210.0,2214,0.90625,726.0
2026-08-06,A02,A02-T2-H01,8,T2,F022—F019—F024,31,171,472.0,1180.0,2557,0.955111,339.0
2026-08-06,A02,A02-T1-H01,2,T1,F031—F025—F021—F024—F027,9,207,559.0,1900.6,621,0.173524,5544.0
2026-08-06,A02,A02-T2-H02,5,T2,F018—F019,13,160,474.0,1185.0,1181,0.407437,4494.0
2026-08-07,A02,A02-T3-H01,5,T3,F027—F021—F035—F018—F028,18,286,709.0,2056.1,1345,0.240517,10231.0
2026-08-07,A02,A02-T3-H02,6,T3,F018—F026—F027—F025,28,220,529.0,1534.1,2952,0.722117,2793.0
2026-08-07,A02,A02-T2-H01,9,T2,F018—F026,16,154,449.0,1122.5,1032,0.5,3592.0
2026-08-07,A02,A02-T1-H01,3,T1,F018,10,124,428.0,1455.2,520,0.416667,2996.0
2026-08-07,A02,A02-T2-H02,6,T2,F024—F028—F018,12,225,635.0,1587.5,456,0.076772,9380.0
2026-08-07,A02,A02-T2-H03,6,T2,F024,31,140,438.0,1095.0,2180,0.96875,219.0
2026-08-07,A02,A02-T2-H01,10,T2,F031—F023—F035,27,196,566.0,1415.0,2495,0.827407,1563.0
2026-08-07,A02,A02-T3-H01,6,T3,F027,32,136,396.0,1148.4,2176,0.842105,1188.0
2026-08-07,A02,A02-T3-H02,7,T3,F025—F027—F018—F028,4,248,618.0,1792.2,554,0.120933,10322.0
2026-08-07,A02,A02-T1-H02,1,T1,F024—F028—F018,4,204,635.0,2159.0,144,0.034121,7360.0
2026-08-07,A02,A02-T1-H01,4,T1,F024—F023—F031,2,189,573.0,1948.2,170,0.077661,6342.0
