person_id,origin_id,destination_id,task_type,earliest_pickup_time,latest_arrival_time
P0318,F023,F032,temporary,2026-08-03 00:00:00,2026-08-07 11:51:00
P0699,F001,LAND,temporary,2026-08-04 11:18:00,2026-08-08 12:42:00
P0941,F032,F025,temporary,2026-08-06 08:20:00,2026-08-09 23:59:00
P1146,F036,F046,temporary,2026-08-03 00:00:00,2026-08-05 08:10:00
P1843,F036,F049,temporary,2026-08-08 11:56:00,2026-08-09 23:59:00
P2503,LAND,F012,temporary,2026-08-03 00:00:00,2026-08-05 11:31:00
P2553,F037,F040,temporary,2026-08-03 00:00:00,2026-08-05 12:23:00
P2760,F029,F021,temporary,2026-08-07 09:49:00,2026-08-09 23:59:00
P2806,F012,F015,temporary,2026-08-04 10:21:00,2026-08-08 10:30:00
P3122,F036,F046,temporary,2026-08-03 00:00:00,2026-08-04 08:10:00
P3211,A01,F012,temporary,2026-08-03 00:00:00,2026-08-06 11:31:00
P3358,F022,F033,temporary,2026-08-03 09:47:00,2026-08-06 09:55:00
