aircraft_type,flight_no,stop_order,facility_id,refuel
T2,1,0,A01,0
T2,1,1,F003,0
T2,1,2,A01,0
T2,2,0,A01,0
T2,2,1,F005,0
T2,2,2,F017,0
T2,2,3,A01,0
T2,3,0,A01,0
T2,3,1,F006,1
T2,3,2,A01,0
T2,4,0,A02,0
T2,4,1,F011,1
T2,4,2,F028,0
T2,4,3,A02,0
T2,5,0,A02,0
T2,5,1,F018,1
T2,5,2,A02,0
T2,6,0,A02,0
T2,6,1,F018,1
T2,6,2,A02,0
T2,7,0,A02,0
T2,7,1,F023,0
T2,7,2,F031,1
T2,7,3,A02,0
T2,8,0,A02,0
T2,8,1,F027,0
T2,8,2,A02,0
T2,9,0,A02,0
T2,9,1,F031,1
T2,9,2,F032,0
T2,9,3,A02,0
T2,10,0,A02,0
T2,10,1,F031,1
T2,10,2,F032,0
T2,10,3,F035,0
T2,10,4,A02,0
T2,11,0,A03,0
T2,11,1,F038,1
T2,11,2,F045,0
T2,11,3,A03,0
T2,12,0,A03,0
T2,12,1,F038,1
T2,12,2,F047,0
T2,12,3,A03,0
T2,13,0,A03,0
T2,13,1,F038,1
T2,13,2,F048,0
T2,13,3,A03,0
T2,14,0,A03,0
T2,14,1,F038,1
T2,14,2,F048,0
T2,14,3,A03,0
T2,15,0,A03,0
T2,15,1,F038,1
T2,15,2,F051,0
T2,15,3,F041,0
T2,15,4,A03,0
T2,16,0,A03,0
T2,16,1,F040,0
T2,16,2,F044,1
T2,16,3,A03,0
T2,17,0,A03,0
T2,17,1,F044,1
T2,17,2,A03,0
T2,18,0,A03,0
T2,18,1,F044,1
T2,18,2,A03,0
T3,1,0,A01,0
T3,1,1,F001,0
T3,1,2,A01,0
T3,2,0,A01,0
T3,2,1,F001,0
T3,2,2,A01,0
T3,3,0,A01,0
T3,3,1,F001,0
T3,3,2,F012,0
T3,3,3,A01,0
T3,4,0,A01,0
T3,4,1,F002,0
T3,4,2,A01,0
T3,5,0,A01,0
T3,5,1,F002,0
T3,5,2,A01,0
T3,6,0,A01,0
T3,6,1,F002,0
T3,6,2,F013,0
T3,6,3,F006,1
T3,6,4,A01,0
T3,7,0,A01,0
T3,7,1,F003,0
T3,7,2,F010,0
T3,7,3,F008,0
T3,7,4,A01,0
T3,8,0,A01,0
T3,8,1,F004,0
T3,8,2,A01,0
T3,9,0,A01,0
T3,9,1,F004,0
T3,9,2,F007,0
T3,9,3,A01,0
T3,10,0,A01,0
T3,10,1,F005,0
T3,10,2,A01,0
T3,11,0,A01,0
T3,11,1,F006,0
T3,11,2,A01,0
T3,12,0,A01,0
T3,12,1,F006,1
T3,12,2,F013,0
T3,12,3,A01,0
T3,13,0,A01,0
T3,13,1,F007,0
T3,13,2,A01,0
T3,14,0,A01,0
T3,14,1,F008,0
T3,14,2,A01,0
T3,15,0,A01,0
T3,15,1,F009,0
T3,15,2,A01,0
T3,16,0,A01,0
T3,16,1,F009,0
T3,16,2,F011,0
T3,16,3,A01,0
T3,17,0,A01,0
T3,17,1,F010,0
T3,17,2,A01,0
T3,18,0,A01,0
T3,18,1,F011,0
T3,18,2,A01,0
T3,19,0,A01,0
T3,19,1,F012,0
T3,19,2,A01,0
T3,20,0,A01,0
T3,20,1,F014,0
T3,20,2,A01,0
T3,21,0,A01,0
T3,21,1,F014,0
T3,21,2,F015,0
T3,21,3,F016,0
T3,21,4,A01,0
T3,22,0,A01,0
T3,22,1,F015,0
T3,22,2,A01,0
T3,23,0,A01,0
T3,23,1,F016,0
T3,23,2,A01,0
T3,24,0,A01,0
T3,24,1,F017,0
T3,24,2,A01,0
T3,25,0,A02,0
T3,25,1,F011,1
T3,25,2,F028,0
T3,25,3,F030,0
T3,25,4,A02,0
T3,26,0,A02,0
T3,26,1,F018,0
T3,26,2,F026,0
T3,26,3,A02,0
T3,27,0,A02,0
T3,27,1,F019,0
T3,27,2,A02,0
T3,28,0,A02,0
T3,28,1,F019,0
T3,28,2,A02,0
T3,29,0,A02,0
T3,29,1,F019,0
T3,29,2,F033,0
T3,29,3,A02,0
T3,30,0,A02,0
