facility_id,airport,passengers,delivery_flights
F001,A01,42,3
F002,A01,45,3
F003,A01,19,2
F004,A01,27,2
F005,A01,27,2
F006,A01,34,2
F007,A01,28,2
F008,A01,22,2
F009,A01,27,2
F010,A01,31,2
F011,A01,29,2
F012,A01,34,2
F013,A01,31,2
F014,A01,28,2
F015,A01,23,2
F016,A01,25,2
F017,A01,27,2
F018,A02,37,3
F019,A02,44,3
F020,A02,46,3
F021,A02,51,3
F022,A02,46,3
F023,A02,25,2
F024,A02,29,2
F025,A02,26,2
F026,A02,33,2
F027,A02,35,2
F028,A02,28,2
F029,A02,24,2
F030,A02,26,2
F031,A02,29,2
F032,A02,30,2
F033,A02,31,2
F034,A02,37,2
F035,A02,21,2
F036,A03,42,3
F037,A03,28,2
F038,A03,31,2
F039,A03,34,2
F040,A03,27,2
F041,A03,21,2
F042,A03,26,2
F043,A03,30,2
F044,A03,34,3
F045,A03,35,2
F046,A03,20,2
F047,A03,23,2
F048,A03,32,2
F049,A03,33,2
F050,A03,27,2
F051,A03,33,2
F052,A03,27,2
