airport,aircraft_type,flight_no,source,passengers,required_facilities,offshore_landings,refuel_count,distance_km,flight_time_min,fuel_kg,seat_utilization,route
A01,T2,1,full,16,1,1,0,384.0,116,960.0,0.5,A01 -> F003 -> A01
A01,T2,2,tail,16,2,2,0,383.0,125,957.5,0.5483028720626631,A01 -> F005 -> F017 -> A01
A01,T2,3,tail,15,1,1,1,470.0,150,1175.0,0.46875,A01 -> F006 -> A01
A02,T2,4,full,16,1,2,1,491.0,166,1227.5,0.505091649694501,A02 -> F011 -> F028 -> A02
A02,T2,5,full,16,1,1,1,428.0,138,1070.0,0.5,A02 -> F018 -> A02
A02,T2,6,full,16,1,1,1,428.0,138,1070.0,0.5,A02 -> F018 -> A02
A02,T2,7,full,16,1,2,1,534.0,176,1335.0,0.5,A02 -> F023 -> F031 -> A02
A02,T2,8,tail,16,1,1,0,396.0,118,990.0,0.5,A02 -> F027 -> A02
A02,T2,9,full,16,1,2,1,559.0,184,1397.5,0.5008944543828264,A02 -> F031 -> F032 -> A02
A02,T2,10,tail,16,2,3,1,576.0,199,1440.0,0.4937065972222222,A02 -> F031 -> F032 -> F035 -> A02
A03,T2,11,tail,16,1,2,1,554.0,182,1385.0,0.5306859205776173,A03 -> F038 -> F045 -> A03
A03,T2,12,tail,16,2,2,1,579.0,189,1447.5,0.4835924006908463,A03 -> F038 -> F047 -> A03
A03,T2,13,full,16,1,2,1,534.0,177,1335.0,0.5243445692883895,A03 -> F038 -> F048 -> A03
A03,T2,14,full,16,1,2,1,534.0,177,1335.0,0.5243445692883895,A03 -> F038 -> F048 -> A03
A03,T2,15,tail,16,2,3,1,594.0,203,1485.0,0.47895622895622897,A03 -> F038 -> F051 -> F041 -> A03
A03,T2,16,full,16,1,2,1,687.0,219,1717.5,0.4978165938864629,A03 -> F040 -> F044 -> A03
A03,T2,17,full,16,1,1,1,634.0,194,1585.0,0.5,A03 -> F044 -> A03
A03,T2,18,full,16,1,1,1,634.0,194,1585.0,0.5,A03 -> F044 -> A03
A01,T3,1,full,19,1,1,0,438.0,150,1270.2,0.5,A01 -> F001 -> A01
A01,T3,2,full,19,1,1,0,438.0,150,1270.2,0.5,A01 -> F001 -> A01
A01,T3,3,tail,19,2,2,0,469.0,170,1360.1,0.537650095387723,A01 -> F001 -> F012 -> A01
A01,T3,4,full,19,1,1,0,434.0,148,1258.6,0.5,A01 -> F002 -> A01
A01,T3,5,full,19,1,1,0,434.0,148,1258.6,0.5,A01 -> F002 -> A01
A01,T3,6,tail,19,2,3,1,565.0,221,1638.5,0.45896599906846763,A01 -> F002 -> F013 -> F006 -> A01
A01,T3,7,tail,18,3,3,0,458.0,176,1328.2,0.4485175821650195,A01 -> F003 -> F010 -> F008 -> A01
A01,T3,8,full,19,1,1,0,394.0,136,1142.6,0.5,A01 -> F004 -> A01
A01,T3,9,tail,17,2,2,0,466.0,169,1351.3999999999999,0.4148407499435284,A01 -> F004 -> F007 -> A01
A01,T3,10,full,19,1,1,0,380.0,130,1102.0,0.5,A01 -> F005 -> A01
A01,T3,11,full,19,1,1,0,470.0,160,1363.0,0.5,A01 -> F006 -> A01
A01,T3,12,full,19,1,2,1,560.0,209,1624.0,0.5017857142857143,A01 -> F006 -> F013 -> A01
A01,T3,13,full,19,1,1,0,466.0,158,1351.3999999999999,0.5,A01 -> F007 -> A01
A01,T3,14,full,19,1,1,0,442.0,150,1281.8,0.5,A01 -> F008 -> A01
A01,T3,15,full,19,1,1,0,332.0,116,962.8,0.5,A01 -> F009 -> A01
A01,T3,16,tail,18,2,2,0,402.0,149,1165.8,0.4370253993191935,A01 -> F009 -> F011 -> A01
A01,T3,17,full,19,1,1,0,432.0,148,1252.8,0.5,A01 -> F010 -> A01
A01,T3,18,full,19,1,1,0,402.0,138,1165.8,0.5,A01 -> F011 -> A01
A01,T3,19,full,19,1,1,0,416.0,142,1206.3999999999999,0.5,A01 -> F012 -> A01
A01,T3,20,full,19,1,1,0,328.0,114,951.1999999999999,0.5,A01 -> F014 -> A01
A01,T3,21,tail,19,3,3,0,420.0,165,1218.0,0.46040100250626564,A01 -> F014 -> F015 -> F016 -> A01
A01,T3,22,full,19,1,1,0,382.0,132,1107.8,0.5,A01 -> F015 -> A01
A01,T3,23,full,19,1,1,0,362.0,126,1049.8,0.5,A01 -> F016 -> A01
A01,T3,24,full,19,1,1,0,306.0,108,887.4,0.5,A01 -> F017 -> A01
A02,T3,25,tail,19,2,3,1,493.0,197,1429.7,0.551617380164407,A02 -> F011 -> F028 -> F030 -> A02
A02,T3,26,tail,19,2,2,0,449.0,163,1302.1,0.4995897315672254,A02 -> F018 -> F026 -> A02
A02,T3,27,full,19,1,1,0,432.0,148,1252.8,0.5,A02 -> F019 -> A02
A02,T3,28,full,19,1,1,0,432.0,148,1252.8,0.5,A02 -> F019 -> A02
A02,T3,29,tail,18,2,2,0,479.0,173,1389.1,0.4588506757499176,A02 -> F019 -> F033 -> A02
A02,T3,30,full,19,1,1,0,370.0,128,1073.0,0.5,A02 -> F020 -> A02
A02,T3,31,full,19,1,1,0,370.0,128,1073.0,0.5,A02 -> F020 -> A02
A02,T3,32,tail,16,2,2,0,417.0,153,1209.3,0.3978291051369431,A02 -> F020 -> F022 -> A02
A02,T3,33,full,19,1,1,0,440.0,150,1276.0,0.5,A02 -> F021 -> A02
A02,T3,34,full,19,1,1,0,440.0,150,1276.0,0.5,A02 -> F021 -> A02
A02,T3,35,tail,18,2,2,0,453.0,165,1313.7,0.4699663064947136,A02 -> F021 -> F029 -> A02
A02,T3,36,full,19,1,1,0,416.0,142,1206.3999999999999,0.5,A02 -> F022 -> A02
A02,T3,37,full,19,1,1,0,416.0,142,1206.3999999999999,0.5,A02 -> F022 -> A02
A02,T3,38,tail,19,2,2,1,534.0,200,1548.6,0.5246402523161837,A02 -> F023 -> F031 -> A02
A02,T3,39,full,19,1,1,0,438.0,150,1270.2,0.5,A02 -> F024 -> A02
A02,T3,40,tail,17,2,2,0,461.0,168,1336.8999999999999,0.4562164630665601,A02 -> F024 -> F025 -> A02
