机型,架次,机场,停靠设施,承运人数,最大载荷,飞机使用时间(分钟),航程(km),燃油(kg),人员在途时间(分钟),座位利用率,空座公里
T3,1,A01,F003—F007,57,19,171,473.0,1371.7,3249,1.0,0.0
T3,2,A01,F001—F016,56,19,161,441.0,1278.9,3036,0.995107,41.0
T3,3,A01,F011—F015,49,19,155,423.0,1226.7,2785,0.969143,248.0
T3,4,A01,F002—F004,49,19,163,447.0,1296.3,2929,0.968916,264.0
T3,5,A01,F004—F007,48,19,169,466.0,1351.4,2545,0.763158,2097.0
T3,6,A01,F005—F012—F015—F014,52,19,178,432.0,1252.8,2612,0.875731,1020.0
T3,7,A01,F002—F003,47,19,167,462.0,1339.8,2903,0.939622,530.0
T3,8,A01,F014—F017,47,19,133,355.0,1029.5,2307,0.943662,380.0
T1,1,A01,F006—F007—F002—F011,47,12,202,579.0,1968.6,1882,0.827001,1202.0
T3,9,A01,F009,38,19,116,332.0,962.8,2204,1.0,0.0
T3,10,A01,F010,38,19,148,432.0,1252.8,2812,1.0,0.0
T3,11,A01,F001,38,19,150,438.0,1270.2,2850,1.0,0.0
T3,12,A01,F005—F012,38,19,152,416.0,1206.4,2760,0.981781,144.0
T3,13,A01,F003—F008,38,19,163,451.0,1307.9,2103,0.686311,2688.0
T3,14,A01,F007—F006—F010,38,19,197,490.0,1421.0,3078,0.942427,536.0
T3,15,A01,F007—F006—F010,38,19,197,490.0,1421.0,3518,0.986466,126.0
T3,16,A01,F006—F013,38,19,209,560.0,1624.0,3671,0.94812,552.0
T3,17,A01,F014—F017,37,19,133,355.0,1029.5,2478,0.977317,153.0
T3,18,A01,F005—F012—F015,37,19,168,432.0,1252.8,3026,0.956628,356.0
T3,19,A01,F002—F013—F006,35,19,221,565.0,1638.5,3764,0.908617,981.0
T3,20,A01,F009—F015—F012—F005—F014,38,19,196,456.0,1322.4,2801,0.844529,1347.0
T2,1,A01,F003—F008—F011,32,16,168,464.0,1160.0,2224,0.928879,528.0
T3,21,A01,F001—F005,34,19,166,459.0,1331.1,1902,0.611856,3385.0
T3,22,A01,F003—F006—F007—F002—F004,30,19,225,511.0,1481.9,2663,0.665053,3252.0
T2,2,A01,F011—F012—F005—F016—F017,32,16,194,485.0,1212.5,2161,0.697938,2344.0
T3,23,A01,F016,19,19,126,362.0,1049.8,1292,0.5,3439.0
T3,24,A01,F016—F017,19,19,137,363.0,1052.7,1592,0.561693,3023.0
T1,2,A01,F005—F015—F011—F009—F014,31,12,175,469.0,1594.6,1820,0.832978,940.0
T3,25,A01,F002—F004—F003,20,19,178,463.0,1342.7,1943,0.553598,3927.0
T3,26,A01,F002—F013—F006,19,19,221,565.0,1638.5,2326,0.544388,4891.0
T2,3,A01,F010—F008—F011,16,13,169,469.0,1172.5,1107,0.461487,4041.0
T2,4,A01,F006—F010—F007,16,16,188,532.0,1330.0,336,0.069549,7920.0
T2,5,A01,F006—F013—F002,16,16,197,565.0,1412.5,464,0.118584,7968.0
T2,6,A01,F016—F005,14,14,129,396.0,990.0,238,0.05524,5986.0
T3,27,A01,F009—F003,14,14,150,406.0,1177.4,364,0.087114,7042.0
T3,28,A01,F001—F017,17,17,162,442.0,1281.8,1456,0.467135,4475.0
T3,29,A01,F017—F014,18,18,133,355.0,1029.5,396,0.101408,6061.0
T3,30,A01,F008—F003,13,13,163,451.0,1307.9,286,0.05765,8075.0
T2,7,A01,F015—F009,1,1,130,395.0,987.5,21,0.006013,6282.0
T3,31,A02,F018—F026—F033,64,19,201,502.0,1455.8,3611,0.973579,252.0
T3,32,A02,F025—F021—F029—F024—F027,57,19,203,471.0,1365.9,3169,0.919656,719.0
T3,33,A02,F031—F023—F032,53,19,219,560.0,1624.0,3759,0.950094,531.0
T3,34,A02,F025—F021—F029—F024—F027,52,19,203,471.0,1365.9,3646,0.974858,225.0
T3,35,A02,F019—F033,51,19,173,479.0,1389.1,3135,0.947478,478.0
T3,36,A02,F019—F024—F029—F021—F027,48,19,226,514.0,1490.6,3276,0.894839,1027.0
T3,37,A02,F022—F019—F033—F034—F024,48,19,231,535.0,1551.5,3104,0.836498,1662.0
T3,38,A02,F020,38,19,128,370.0,1073.0,2432,1.0,0.0
T3,39,A02,F030,38,19,124,360.0,1044.0,2356,1.0,0.0
T3,40,A02,F021,38,19,150,440.0,1276.0,2850,1.0,0.0
T3,41,A02,F026,38,19,150,442.0,1281.8,2850,1.0,0.0
T3,42,A02,F020,38,19,128,370.0,1073.0,2432,1.0,0.0
T3,43,A02,F022,38,19,142,416.0,1206.4,2698,1.0,0.0
T3,44,A02,F018—F026,38,19,163,449.0,1302.1,2917,0.980307,168.0
T3,45,A02,F021—F029,38,19,165,453.0,1313.7,2831,0.962472,323.0
T3,46,A02,F024—F034,38,19,193,512.0,1484.8,3249,0.925781,722.0
T3,47,A02,F018—F026—F022—F019,38,19,195,482.0,1397.8,3186,0.936231,584.0
T3,48,A02,F018—F028,38,19,196,522.0,1513.8,3724,1.0,0.0
T3,49,A02,F024—F034,38,19,193,512.0,1484.8,3491,0.96875,304.0
T3,50,A02,F023—F031,38,19,200,534.0,1548.6,3268,0.953184,475.0
T3,51,A02,F031—F032,38,19,208,559.0,1621.1,3930,0.996422,38.0
T3,52,A02,F024—F029—F021—F025,38,19,193,472.0,1368.8,3059,0.927966,646.0
T3,53,A02,F018—F026—F033—F019—F022,38,19,224,510.0,1479.0,3629,0.923529,741.0
T3,54,A02,F018—F026—F033—F019—F022,38,19,224,510.0,1479.0,3950,0.960991,378.0
T3,55,A02,F027—F024—F029,29,19,175,450.0,1305.0,2157,0.701988,2548.0
T3,56,A02,F031—F035,38,19,204,545.0,1580.5,3876,1.0,0.0
T3,57,A02,F018—F028,28,19,196,522.0,1513.8,2813,0.777677,2205.0
T3,58,A02,F019—F020,27,19,160,437.0,1267.3,2105,0.700831,2484.0
T2,8,A02,F026—F018—F030,23,16,168,461.0,1152.5,1741,0.688313,2299.0
T3,59,A02,F021—F035—F032—F023—F031,38,19,245,577.0,1673.3,4197,0.955578,487.0
T2,9,A02,F024—F029—F021—F025,21,16,181,472.0,1180.0,1461,0.599179,3027.0
T3,60,A02,F018—F026—F022—F019—F027,20,19,220,498.0,1444.2,2831,0.608222,3707.0
T3,61,A02,F025—F021—F027,19,19,176,455.0,1319.5,1595,0.448005,4772.0
T3,62,A02,F024—F034,19,19,193,512.0,1484.8,2128,0.501953,4845.0
T3,63,A02,F030—F026,18,18,166,460.0,1334.0,522,0.12151,7678.0
T3,64,A02,F020—F018—F019—F027,19,19,209,497.0,1441.3,1272,0.24399,7139.0
T3,65,A02,F028—F018—F034—F035,27,19,274,701.0,2032.9,2064,0.361889,8499.0
T1,3,A02,F024—F032—F023—F031,23,12,204,590.0,2006.0,2259,0.944492,393.0
T3,66,A02,F031—F032—F021—F025,19,19,231,566.0,1641.4,941,0.162265,9009.0
T3,67,A02,F027—F021,11,11,165,455.0,1319.5,242,0.047079,8238.0
T3,68,A02,F025—F031—F021—F034,14,14,244,609.0,1766.1,1170,0.213983,9095.0
T2,10,A02,F031—F032—F025,3,3,195,562.0,1405.0,96,0.026357,8755.0
T3,69,A03,F038—F039,57,19,199,528.0,1531.2,3781,1.0,0.0
T3,70,A03,F045—F051—F038—F048,57,19,237,580.0,1682.0,3948,0.933303,735.0
T3,71,A03,F044—F043—F051,57,19,249,652.0,1890.8,4408,0.967791,399.0
T3,72,A03,F038—F048—F039,54,19,211,534.0,1548.6,3675,0.935935,650.0
T3,73,A03,F036—F046—F047—F049—F038,82,19,258,620.0,1798.0,3967,0.885059,1354.0
T3,74,A03,F037—F040—F044,57,19,273,731.0,2119.9,4781,0.971776,392.0
T3,75,A03,F038—F041—F045,54,19,228,587.0,1702.3,4020,0.929257,789.0
T3,76,A03,F037—F042—F040—F044,57,19,289,750.0,2175.0,4973,0.963649,518.0
T3,77,A03,F040—F044—F041,53,19,258,687.0,1992.3,4694,0.979468,268.0
T3,78,A03,F039—F038—F052,51,19,220,563.0,1632.7,3844,0.955689,474.0
T3,79,A03,F036—F049—F038,49,19,232,602.0,1745.8,3629,0.893251,1221.0
T3,80,A03,F045—F051—F038—F048,47,19,237,580.0,1682.0,4188,0.967332,360.0
T3,81,A03,F038—F049,38,19,208,557.0,1615.3,3952,1.0,0.0
T3,82,A03,F043—F044,38,19,234,641.0,1858.9,4446,1.0,0.0
