person_id,aircraft_type,flight_no,pickup_stop_order,delivery_stop_order
P0001,T3,79,2,4
P0002,T3,37,0,1
P0003,T3,78,3,4
P0004,T3,12,0,2
P0005,T3,37,1,3
P0006,T3,44,1,3
P0007,T3,49,0,2
P0008,T3,34,0,2
P0009,T3,4,2,3
P0010,T3,73,5,6
P0011,T3,50,2,3
P0012,T3,76,3,5
P0013,T3,33,3,4
P0014,T3,63,1,2
P0015,T3,1,0,1
P0016,T3,34,0,2
P0017,T3,36,4,6
P0018,T3,20,4,6
P0019,T3,63,1,2
P0020,T3,4,0,1
P0021,T2,2,3,5
P0022,T3,78,3,4
P0023,T3,71,3,4
P0024,T3,50,2,3
P0025,T3,35,1,3
P0026,T3,91,2,5
P0027,T3,4,0,1
P0028,T3,10,0,1
P0029,T3,41,0,1
P0030,T3,1,0,1
P0031,T1,1,2,3
P0032,T3,11,1,2
P0033,T3,1,0,1
P0034,T3,70,4,5
P0035,T3,1,0,1
P0036,T3,2,0,1
P0037,T3,34,0,2
P0038,T3,73,1,2
P0039,T3,74,3,4
P0040,T3,93,0,5
P0041,T3,35,1,3
P0042,T1,1,0,1
P0043,T3,71,3,4
P0044,T1,1,0,1
P0045,T3,35,0,1
P0046,T3,19,1,4
P0047,T3,70,4,5
P0048,T3,95,1,3
P0049,T3,12,0,2
P0050,T3,38,1,2
P0051,T3,19,1,4
P0052,T3,63,1,2
P0053,T3,31,2,3
P0054,T3,44,1,3
P0055,T3,37,0,1
P0056,T3,34,0,2
P0057,T3,14,0,1
P0058,T3,37,0,1
P0059,T3,35,0,1
P0060,T3,71,3,4
P0061,T3,8,0,1
P0062,T3,19,1,4
P0063,T3,35,1,3
P0064,T3,71,2,3
P0065,T3,49,0,2
P0066,T3,49,0,2
P0067,T3,35,1,2
P0068,T3,50,0,1
P0069,T3,91,2,5
P0070,T3,53,0,3
P0071,T3,63,1,2
P0072,T3,84,0,2
P0073,T3,59,4,6
P0074,T3,71,0,1
P0075,T3,39,1,2
P0076,T3,34,4,6
P0077,T3,10,0,1
P0078,T3,9,1,2
P0079,T3,4,1,2
P0080,T3,69,1,2
P0081,T3,2,0,1
P0082,T3,66,1,3
P0083,T3,49,0,2
P0084,T3,69,2,3
P0085,T3,56,2,3
P0086,T3,9,0,1
P0087,T3,95,1,3
P0088,T3,46,2,3
P0089,T1,1,0,1
P0090,T3,36,4,6
P0091,T3,53,0,3
P0092,T3,76,2,3
P0093,T3,12,0,2
P0094,T3,41,0,1
P0095,T3,82,0,1
P0096,T3,1,2,3
P0097,T3,78,0,1
P0098,T3,73,5,6
P0099,T3,51,0,2
P0100,T3,19,1,4
P0101,T3,12,2,3
P0102,T3,80,0,2
P0103,T3,75,3,4
P0104,T3,43,1,2
P0105,T3,44,1,3
P0106,T3,2,2,3
P0107,T3,4,2,3
P0108,T3,39,1,2
P0109,T3,38,1,2
P0110,T3,31,3,4
P0111,T3,50,0,1
P0112,T3,16,2,3
P0113,T1,1,0,1
P0114,T3,59,4,6
P0115,T3,56,0,2
P0116,T3,49,0,2
P0117,T1,2,2,4
P0118,T3,30,1,2
P0119,T3,74,3,4
P0120,T3,32,5,6
P0121,T3,10,1,2
P0122,T3,34,1,5
P0123,T3,76,3,5
P0124,T3,34,0,2
P0125,T3,75,3,4
P0126,T3,37,0,1
P0127,T3,11,1,2
P0128,T3,8,2,3
P0129,T3,84,4,5
P0130,T3,8,2,3
P0131,T3,59,4,6
P0132,T3,82,0,1
P0133,T3,7,1,2
P0134,T3,35,0,1
P0135,T3,74,3,4
P0136,T3,7,2,3
P0137,T3,17,0,2
P0138,T3,31,0,1
P0139,T3,33,3,4
P0140,T3,77,0,1
P0141,T3,59,4,6
P0142,T3,46,2,3
P0143,T3,7,1,2
P0144,T3,14,2,4
P0145,T3,32,4,5
P0146,T3,5,0,1
P0147,T3,31,0,1
P0148,T3,34,0,2
P0149,T3,84,4,5
P0150,T3,31,1,2
P0151,T1,1,0,1
P0152,T3,101,3,4
P0153,T3,78,3,4
P0154,T3,56,2,3
P0155,T3,85,3,5
P0156,T3,74,3,4
P0157,T3,11,1,2
P0158,T1,1,0,1
P0159,T3,52,0,2
P0160,T3,7,2,3
P0161,T2,6,1,2
P0162,T3,89,1,2
P0163,T3,84,4,5
P0164,T3,33,3,4
P0165,T3,82,1,3
P0166,T3,83,0,1
P0167,T2,4,2,3
P0168,T3,36,3,4
P0169,T3,39,0,1
P0170,T3,14,2,4
P0171,T3,52,4,5
P0172,T3,93,0,5
P0173,T3,33,2,3
P0174,T3,3,0,1
P0175,T3,82,1,3
P0176,T3,44,1,3
P0177,T3,6,0,1
P0178,T3,71,2,3
P0179,T3,31,3,4
P0180,T3,64,1,3
P0181,T3,7,1,2
P0182,T3,79,2,4
P0183,T3,94,1,3
P0184,T3,80,0,2
P0185,T3,52,4,5
P0186,T1,1,0,1
P0187,T3,78,3,4
P0188,T3,33,0,1
P0189,T3,69,2,3
P0190,T3,59,4,6
P0191,T3,85,0,2
P0192,T3,55,0,1
P0193,T3,41,0,1
P0194,T3,9,1,2
P0195,T3,16,2,3
P0196,T3,72,2,3
P0197,T3,71,3,4
P0198,T3,50,2,3
P0199,T3,74,0,1
P0200,T3,84,4,5
P0201,T3,2,1,2
P0202,T3,1,2,3
P0203,T3,34,0,2
P0204,T3,35,1,3
P0205,T3,3,1,2
P0206,T3,84,0,2
P0207,T3,36,3,4
P0208,T3,73,5,6
P0209,T3,34,0,2
P0210,T3,95,1,3
P0211,T3,35,1,2
P0212,T2,2,3,5
P0213,T3,46,0,1
P0214,T3,37,0,1
P0215,T3,73,0,1
P0216,T3,53,0,3
P0217,T3,33,3,4
P0218,T3,66,1,3
P0219,T3,36,4,6
P0220,T3,91,2,5
P0221,T3,33,0,1
P0222,T3,55,0,1
P0223,T3,4,2,3
P0224,T3,79,2,4
P0225,T3,1,1,2
P0226,T3,52,0,2
P0227,T3,75,0,2
P0228,T3,12,0,2
P0229,T3,16,0,2
P0230,T3,41,0,1
P0231,T3,11,1,2
P0232,T3,43,1,2
P0233,T3,2,2,3
P0234,T3,78,1,3
P0235,T3,12,2,3
P0236,T3,85,3,5
P0237,T1,1,2,3
P0238,T3,69,0,1
P0239,T3,12,0,2
P0240,T1,1,0,1
P0241,T3,48,0,2
P0242,T3,31,3,4
P0243,T3,8,2,3
P0244,T1,1,0,1
P0245,T3,85,0,2
P0246,T3,84,4,5
P0247,T3,12,0,2
P0248,T3,89,1,2
P0249,T3,38,0,1
P0250,T3,10,1,2
P0251,T3,85,3,5
P0252,T3,9,0,1
P0253,T3,31,0,1
P0254,T3,34,0,2
P0255,T3,72,0,2
P0256,T3,31,3,4
P0257,T3,1,0,1
P0258,T3,31,3,4
P0259,T3,71,0,1
P0260,T3,74,0,1
P0261,T3,95,1,3
P0262,T3,95,1,3
P0263,T3,100,2,3
P0264,T3,69,2,3
P0265,T3,74,3,4
P0266,T3,12,0,2
P0267,T1,1,0,1
P0268,T3,37,0,1
P0269,T3,20,0,2
P0270,T3,75,1,3
P0271,T3,89,1,2
P0272,T3,48,0,2
P0273,T3,79,2,4
P0274,T3,74,3,4
P0275,T2,2,0,4
P0276,T3,73,1,4
P0277,T3,83,1,2
P0278,T3,47,4,5
P0279,T2,2,3,5
P0280,T3,44,1,3
P0281,T3,2,1,2
P0282,T3,36,4,6
P0283,T3,94,1,3
P0284,T3,3,0,1
P0285,T3,77,1,3
P0286,T3,89,1,2
P0287,T3,67,1,2
P0288,T3,55,0,1
P0289,T3,48,0,2
P0290,T3,85,3,5
P0291,T3,70,2,3
P0292,T3,14,2,4
P0293,T3,3,0,1
P0294,T3,76,0,2
P0295,T3,63,1,2
P0296,T3,77,1,3
P0297,T3,59,4,6
P0298,T3,50,0,1
P0299,T3,52,0,2
P0300,T3,34,0,2
P0301,T3,56,2,3
P0302,T3,70,2,3
P0303,T3,8,0,1
P0304,T3,41,0,1
P0305,T3,49,0,2
P0306,T3,52,0,2
P0307,T3,46,0,1
P0308,T3,32,2,5
P0309,T3,100,2,3
P0310,T3,36,4,6
P0311,T3,34,0,2
P0312,T3,46,2,3
P0313,T3,76,2,3
P0314,T3,89,1,2
P0315,T3,74,1,3
P0316,T3,70,4,5
P0317,T3,30,1,2
P0318,T3,33,2,3
P0319,T3,4,2,3
P0320,T3,48,0,2
P0321,T3,3,2,3
P0322,T3,33,2,3
P0323,T3,81,0,2
P0324,T3,71,3,4
P0325,T3,69,2,3
P0326,T3,75,0,2
P0327,T3,47,4,5
P0328,T3,79,1,2
P0329,T3,76,3,5
P0330,T3,74,0,1
P0331,T3,44,1,3
P0332,T3,39,0,1
P0333,T3,71,3,4
P0334,T3,43,1,2
P0335,T3,72,2,3
P0336,T3,74,1,3
P0337,T3,1,2,3
P0338,T3,69,0,1
P0339,T3,70,2,3
P0340,T3,34,4,6
P0341,T3,94,1,3
P0342,T1,1,4,5
P0343,T3,10,1,2
P0344,T3,35,0,1
P0345,T3,38,1,2
P0346,T3,36,3,4
P0347,T3,39,0,1
P0348,T3,2,2,3
P0349,T3,80,0,2
P0350,T3,38,0,1
P0351,T3,36,4,6
P0352,T3,56,2,3
P0353,T3,81,2,3
P0354,T3,52,4,5
P0355,T3,37,5,6
P0356,T3,74,1,3
P0357,T3,39,0,1
P0358,T3,31,2,3
P0359,T3,47,4,5
P0360,T3,83,1,2
P0361,T3,46,2,3
P0362,T3,46,2,3
P0363,T3,57,1,3
P0364,T3,69,2,3
P0365,T3,70,0,1
P0366,T3,100,2,3
P0367,T3,77,0,1
P0368,T3,75,0,2
P0369,T3,73,0,1
P0370,T3,6,4,5
P0371,T3,31,0,1
P0372,T3,78,3,4
P0373,T3,69,1,2
P0374,T3,45,2,3
P0375,T3,10,0,1
P0376,T3,34,0,2
P0377,T3,75,0,2
P0378,T3,73,3,4
P0379,T3,51,0,2
P0380,T3,3,2,3
P0381,T3,95,1,3
P0382,T3,31,0,1
P0383,T3,99,2,4
P0384,T3,74,3,4
P0385,T3,69,0,1
P0386,T3,71,0,1
P0387,T3,53,0,3
P0388,T3,73,0,1
P0389,T3,69,1,2
P0390,T3,51,0,2
P0391,T3,75,3,4
P0392,T3,5,1,2
P0393,T1,1,0,1
P0394,T3,40,0,1
P0395,T3,10,0,1
P0396,T3,71,0,1
P0397,T3,10,1,2
P0398,T3,34,1,5
P0399,T3,69,0,1
P0400,T3,36,3,4
P0401,T3,73,0,1
P0402,T3,2,0,1
P0403,T3,48,2,3
P0404,T3,49,0,2
P0405,T3,83,1,2
P0406,T3,39,1,2
P0407,T3,33,3,4
P0408,T3,52,4,5
P0409,T3,20,0,2
P0410,T3,46,0,1
P0411,T3,14,2,4
P0412,T3,47,4,5
P0413,T3,16,2,3
P0414,T3,41,0,1
P0415,T3,40,0,1
P0416,T3,20,4,6
P0417,T3,16,0,2
P0418,T3,17,0,2
P0419,T3,16,0,2
P0420,T3,69,2,3
P0421,T3,38,0,1
P0422,T3,51,0,2
P0423,T2,2,0,4
P0424,T3,10,1,2
P0425,T3,73,5,6
P0426,T3,74,1,3
P0427,T3,43,1,2
P0428,T3,56,0,2
P0429,T3,46,2,3
P0430,T3,70,0,1
P0431,T3,11,1,2
P0432,T3,47,4,5
P0433,T3,46,0,1
P0434,T3,100,2,3
P0435,T3,73,0,1
P0436,T3,38,0,1
P0437,T2,6,1,2
P0438,T3,40,0,1
P0439,T3,29,1,2
P0440,T3,38,0,1
P0441,T3,14,2,4
P0442,T3,71,0,1
P0443,T3,73,5,6
P0444,T3,10,1,2
P0445,T3,31,0,1
P0446,T3,88,0,3
P0447,T3,43,1,2
P0448,T3,39,0,1
P0449,T3,52,0,2
P0450,T3,55,0,1
P0451,T3,49,0,2
P0452,T3,41,1,2
P0453,T3,16,0,2
P0454,T3,13,0,2
P0455,T3,76,0,2
P0456,T3,40,0,1
P0457,T3,70,4,5
P0458,T3,38,0,1
P0459,T3,32,0,1
P0460,T3,37,0,1
P0461,T3,70,2,3
P0462,T3,88,0,3
P0463,T1,1,4,5
P0464,T3,11,1,2
P0465,T3,84,0,2
P0466,T3,72,2,3
P0467,T3,83,0,1
P0468,T3,50,2,3
P0469,T3,74,3,4
P0470,T3,33,0,1
P0471,T3,69,2,3
P0472,T3,31,0,1
P0473,T3,95,1,3
P0474,T1,1,2,3
P0475,T3,46,0,1
P0476,T3,20,0,2
P0477,T3,75,2,3
P0478,T3,73,5,6
P0479,T3,39,0,1
P0480,T3,14,0,1
P0481,T3,46,2,3
P0482,T3,23,0,1
P0483,T3,78,3,4
P0484,T3,20,0,2
P0485,T3,66,2,4
P0486,T3,29,1,2
P0487,T3,33,3,4
P0488,T3,41,1,2
P0489,T3,1,1,2
P0490,T3,48,0,2
P0491,T1,1,4,5
P0492,T3,38,0,1
P0493,T3,35,0,1
P0494,T3,72,2,3
P0495,T3,82,1,3
P0496,T3,73,0,1
P0497,T3,75,3,4
P0498,T3,38,1,2
P0499,T3,46,0,1
P0500,T3,70,4,5
P0501,T3,40,0,1
P0502,T3,88,0,3
P0503,T3,74,3,4
P0504,T3,85,3,5
P0505,T3,41,0,1
P0506,T3,16,2,3
P0507,T3,99,2,4
P0508,T3,1,2,3
P0509,T3,74,1,2
P0510,T3,12,0,2
P0511,T3,41,0,1
P0512,T3,2,0,1
P0513,T3,20,0,2
P0514,T3,90,3,5
P0515,T3,20,4,6
P0516,T3,74,1,3
P0517,T3,70,4,5
P0518,T3,14,2,4
P0519,T3,75,0,2
P0520,T3,82,0,1
P0521,T3,41,0,1
P0522,T3,41,0,1
P0523,T3,73,5,6
P0524,T3,2,2,3
P0525,T3,12,0,2
P0526,T3,102,3,4
P0527,T3,5,1,2
P0528,T3,1,0,1
P0529,T3,82,1,3
P0530,T3,88,0,3
P0531,T3,43,1,2
P0532,T3,36,4,6
P0533,T3,52,4,5
P0534,T3,46,2,3
P0535,T3,3,0,1
P0536,T3,83,1,2
P0537,T3,32,0,1
P0538,T3,20,4,6
P0539,T3,47,4,5
P0540,T3,83,0,1
P0541,T3,88,0,3
P0542,T3,35,0,1
P0543,T3,59,4,6
P0544,T3,39,1,2
P0545,T3,39,1,2
P0546,T3,51,0,2
P0547,T3,93,0,5
P0548,T3,19,1,4
P0549,T3,95,1,3
P0550,T3,40,0,1
P0551,T3,84,4,5
P0552,T3,73,0,1
P0553,T3,52,4,5
P0554,T3,38,1,2
P0555,T3,45,2,3
P0556,T3,101,3,4
P0557,T3,73,5,6
P0558,T3,71,0,1
P0559,T3,48,0,2
P0560,T2,6,1,2
P0561,T3,12,0,2
P0562,T3,39,0,1
P0563,T3,37,5,6
P0564,T3,14,2,4
P0565,T3,56,0,2
P0566,T3,71,0,1
P0567,T3,83,0,1
P0568,T3,70,0,1
P0569,T3,71,2,3
P0570,T3,20,0,2
P0571,T3,31,3,4
P0572,T3,35,0,1
P0573,T3,69,0,1
P0574,T3,41,0,1
P0575,T3,2,0,1
P0576,T3,36,3,4
P0577,T3,11,1,2
P0578,T3,1,1,2
P0579,T3,74,3,4
P0580,T3,53,0,3
P0581,T3,52,4,5
P0582,T3,71,0,1
P0583,T3,10,0,1
P0584,T3,12,0,2
P0585,T3,31,1,2
P0586,T3,11,1,2
P0587,T3,37,5,6
P0588,T3,82,0,1
P0589,T3,38,1,2
P0590,T3,82,1,3
P0591,T3,36,4,6
P0592,T3,31,2,3
P0593,T3,72,2,3
P0594,T3,56,2,3
P0595,T3,3,2,3
P0596,T3,45,2,3
P0597,T3,36,4,6
P0598,T3,17,0,2
P0599,T3,53,0,3
P0600,T3,48,0,2
P0601,T3,82,0,1
P0602,T3,2,0,1
P0603,T3,76,1,4
P0604,T3,2,1,2
P0605,T3,20,0,2
P0606,T3,7,2,3
P0607,T3,2,0,1
P0608,T3,31,3,4
P0609,T3,89,1,2
P0610,T3,93,0,5
P0611,T3,50,0,1
P0612,T3,38,0,1
P0613,T3,23,0,1
P0614,T1,2,2,4
P0615,T3,59,4,6
P0616,T3,51,0,2
P0617,T3,76,0,2
P0618,T3,51,0,2
P0619,T3,18,0,2
P0620,T3,41,0,1
P0621,T3,4,2,3
P0622,T3,6,0,1
P0623,T3,1,1,2
P0624,T3,82,1,3
P0625,T3,8,2,3
P0626,T3,38,1,2
P0627,T3,36,4,6
P0628,T3,13,0,2
P0629,T3,43,1,2
P0630,T3,12,2,3
P0631,T3,10,0,1
P0632,T3,5,0,1
P0633,T3,9,1,2
P0634,T3,48,0,2
P0635,T3,38,0,1
P0636,T1,1,4,5
P0637,T3,20,0,2
P0638,T3,76,0,2
P0639,T3,31,3,4
P0640,T3,36,4,6
P0641,T3,18,0,2
P0642,T3,10,0,1
P0643,T3,83,0,1
P0644,T3,18,0,2
P0645,T3,73,2,3
P0646,T3,71,3,4
P0647,T3,23,0,1
P0648,T3,16,0,2
P0649,T3,85,3,5
P0650,T2,5,2,3
P0651,T3,78,3,4
P0652,T3,14,0,1
P0653,T3,52,4,5
P0654,T3,48,2,3
P0655,T3,69,0,1
P0656,T3,41,1,2
P0657,T3,75,0,2
P0658,T3,100,2,3
P0659,T3,4,0,1
P0660,T3,53,0,3
