person_id,aircraft_id,flight_no,pickup_stop_order,delivery_stop_order
P0001,A03-T3-H02,4,2,4
P0002,A02-T2-H03,2,0,1
P0003,A03-T2-H02,14,2,3
P0004,A01-T3-H01,7,0,2
P0005,A02-T2-H03,2,1,2
P0006,A02-T2-H04,1,1,2
P0007,A02-T3-H01,3,0,2
P0008,A02-T3-H01,9,0,1
P0009,A01-T2-H03,5,1,3
P0010,A03-T2-H02,1,3,4
P0011,A02-T2-H02,8,1,2
P0012,A03-T3-H02,1,2,4
P0013,A02-T2-H03,7,2,3
P0014,A02-T3-H02,9,1,3
P0015,A01-T2-H02,2,0,1
P0016,A02-T2-H02,1,0,1
P0017,A02-T2-H02,1,1,3
P0018,A01-T2-H03,1,1,2
P0019,A02-T3-H02,9,1,3
P0020,A01-T3-H01,4,0,1
P0021,A01-T3-H01,3,2,3
P0022,A03-T2-H03,3,3,4
P0023,A03-T2-H01,14,2,3
P0024,A02-T2-H04,4,1,2
P0025,A02-T2-H01,8,2,4
P0026,A03-T3-H03,6,1,3
P0027,A01-T3-H01,9,0,1
P0028,A01-T1-H03,1,0,2
P0029,A02-T2-H02,2,0,2
P0030,A01-T2-H02,6,0,1
P0031,A01-T2-H02,4,3,4
P0032,A01-T2-H01,2,1,3
P0033,A01-T3-H02,3,0,1
P0034,A03-T3-H03,2,4,5
P0035,A01-T2-H02,2,0,1
P0036,A01-T2-H02,8,0,1
P0037,A02-T3-H02,5,0,1
P0038,A03-T2-H02,1,1,2
P0039,A03-T3-H01,4,3,5
P0040,A03-T3-H01,12,0,2
P0041,A02-T2-H01,8,2,4
P0042,A01-T2-H02,1,0,1
P0043,A03-T2-H02,5,2,3
P0044,A01-T1-H02,2,0,1
P0045,A02-T3-H02,2,0,2
P0046,A01-T3-H01,4,1,3
P0047,A03-T3-H01,11,2,4
P0048,A03-T3-H03,11,1,2
P0049,A01-T2-H03,7,0,2
P0050,A02-T2-H01,7,1,2
P0051,A01-T3-H01,4,1,3
P0052,A02-T3-H02,9,1,3
P0053,A02-T3-H01,4,2,3
P0054,A02-T2-H04,1,1,2
P0055,A02-T2-H03,2,0,1
P0056,A02-T3-H02,5,0,1
P0057,A01-T2-H01,10,0,1
P0058,A02-T2-H03,4,0,2
P0059,A02-T2-H01,1,0,4
P0060,A03-T2-H02,5,2,3
P0061,A01-T3-H02,4,0,1
P0062,A01-T2-H01,4,1,4
P0063,A02-T2-H01,1,4,6
P0064,A03-T2-H01,6,1,2
P0065,A02-T3-H01,7,0,2
P0066,A02-T3-H01,7,0,2
P0067,A02-T2-H03,1,2,3
P0068,A02-T2-H01,2,0,1
P0069,A03-T2-H03,1,2,6
P0070,A02-T2-H03,3,0,2
P0071,A02-T3-H02,9,1,3
P0072,A03-T2-H03,3,0,3
P0073,A02-T2-H01,2,1,3
P0074,A03-T3-H03,2,0,2
P0075,A02-T2-H01,5,1,2
P0076,A02-T2-H03,2,3,4
P0077,A01-T3-H02,9,0,5
P0078,A01-T1-H01,2,1,3
P0079,A01-T2-H02,4,4,5
P0080,A03-T3-H03,10,4,5
P0081,A01-T2-H01,6,0,4
P0082,A02-T1-H01,6,1,2
P0083,A02-T3-H01,7,0,2
P0084,A03-T2-H02,6,2,3
P0085,A02-T3-H01,5,3,6
P0086,A01-T3-H01,8,0,1
P0087,A03-T3-H03,11,1,2
P0088,A02-T3-H01,7,2,3
P0089,A01-T2-H02,1,0,1
P0090,A02-T3-H01,9,1,3
P0091,A02-T2-H03,3,0,2
P0092,A03-T3-H01,5,3,4
P0093,A01-T2-H01,3,0,2
P0094,A02-T2-H02,2,0,2
P0095,A03-T3-H03,5,0,1
P0096,A01-T3-H02,8,2,3
P0097,A03-T2-H02,6,0,2
P0098,A03-T3-H03,3,1,2
P0099,A02-T2-H03,7,0,2
P0100,A01-T3-H01,4,1,3
P0101,A01-T3-H01,7,2,3
P0102,A03-T2-H01,14,0,2
P0103,A03-T3-H02,9,2,3
P0104,A02-T3-H02,10,1,6
P0105,A02-T2-H01,9,1,3
P0106,A01-T2-H01,6,5,6
P0107,A01-T3-H02,2,1,2
P0108,A02-T2-H01,5,1,2
P0109,A02-T2-H01,7,1,2
P0110,A02-T2-H04,5,2,3
P0111,A02-T2-H01,2,0,1
P0112,A01-T2-H02,7,2,3
P0113,A01-T2-H03,5,0,2
P0114,A02-T2-H01,2,1,3
P0115,A02-T2-H04,6,0,3
P0116,A02-T3-H01,3,0,2
P0117,A01-T1-H03,4,2,4
P0118,A01-T2-H01,5,2,3
P0119,A03-T3-H02,7,1,2
P0120,A02-T3-H01,2,1,2
P0121,A01-T2-H03,2,1,4
P0122,A02-T2-H02,4,1,5
P0123,A03-T3-H02,1,2,4
P0124,A02-T3-H01,9,0,1
P0125,A03-T3-H02,9,2,3
P0126,A02-T2-H03,2,0,1
P0127,A01-T2-H01,2,1,3
P0128,A01-T2-H02,5,1,2
P0129,A03-T2-H01,11,2,3
P0130,A01-T2-H02,5,1,2
P0131,A02-T2-H01,10,2,4
P0132,A03-T3-H03,5,0,1
P0133,A01-T1-H01,9,2,4
P0134,A02-T2-H01,8,0,2
P0135,A03-T3-H02,7,1,2
P0136,A01-T2-H01,1,3,5
P0137,A01-T2-H02,5,0,1
P0138,A02-T2-H02,10,0,1
P0139,A02-T2-H03,7,2,3
P0140,A03-T3-H02,1,0,2
P0141,A02-T2-H01,2,1,3
P0142,A02-T3-H01,7,2,3
P0143,A01-T1-H01,9,2,4
P0144,A01-T3-H01,2,3,4
P0145,A02-T2-H01,6,1,2
P0146,A01-T3-H02,1,0,1
P0147,A02-T2-H02,10,0,1
P0148,A02-T3-H01,9,0,1
P0149,A03-T3-H02,4,3,4
P0150,A02-T2-H01,1,1,2
P0151,A01-T2-H03,5,0,2
P0152,A03-T3-H01,11,1,2
P0153,A03-T2-H03,3,3,4
P0154,A02-T2-H04,6,3,6
P0155,A03-T2-H03,2,2,3
P0156,A03-T3-H01,4,3,5
P0157,A01-T2-H02,8,1,3
P0158,A01-T2-H03,5,0,2
P0159,A02-T2-H04,3,0,2
P0160,A01-T2-H01,1,3,5
P0161,A01-T3-H01,6,1,2
P0162,A03-T3-H01,15,1,2
P0163,A03-T3-H02,4,3,4
